step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.385,1.438920,0.191246,0.151685,0.230807,20,0.00000000,0
25,25.419,1.153248,0.302910,0.242061,0.363760,20,0.00005181,0
50,49.942,1.027116,0.385994,0.307013,0.464974,20,0.00012648,1
75,74.891,0.942371,0.433999,0.345942,0.522056,20,0.00016963,1
100,99.742,0.852357,0.489054,0.406360,0.571748,20,0.00015985,1
125,124.591,0.753368,0.551644,0.467771,0.635518,20,0.00012589,1
150,149.021,0.679619,0.602512,0.524570,0.680454,20,0.00000587,1
175,173.507,0.624840,0.638108,0.569189,0.707026,20,0.00000000,0
200,197.694,0.596384,0.659540,0.588712,0.730368,20,0.00000000,0
225,222.094,0.584708,0.670481,0.596867,0.744095,20,0.00000000,0
250,246.266,0.564964,0.681128,0.611620,0.750637,20,0.00000000,0
275,270.474,0.554525,0.686485,0.619177,0.753792,20,0.00000000,0
300,294.609,0.548227,0.689655,0.622400,0.756910,20,0.00000000,0
325,318.683,0.540774,0.693529,0.628179,0.758880,20,0.00000000,0
350,342.925,0.533863,0.699602,0.631887,0.767317,20,0.00000000,0
375,367.121,0.527886,0.702239,0.637517,0.766962,20,0.00000000,1
400,391.107,0.524230,0.704748,0.639520,0.769976,20,0.00000093,1
425,415.661,0.520889,0.708776,0.641687,0.775864,20,0.00000031,1
450,440.325,0.503566,0.716088,0.659899,0.772277,20,0.00000000,0
475,465.093,0.480217,0.727823,0.681970,0.773676,20,0.00000000,0
500,489.476,0.450550,0.743128,0.711353,0.774903,20,0.00000000,0
525,514.040,0.432251,0.753817,0.730983,0.776650,20,0.00000000,0
550,538.463,0.414662,0.763174,0.744940,0.781408,20,0.00000000,0
575,563.180,0.418394,0.760710,0.752159,0.769261,20,0.00000000,0
600,587.914,0.419267,0.761920,0.752646,0.771193,20,0.00000000,0
625,612.687,0.400610,0.770493,0.760589,0.780397,20,0.00000000,0
650,637.257,0.387925,0.775724,0.768569,0.782880,20,0.00000000,0
675,661.739,0.382529,0.780967,0.777565,0.784368,20,0.00000000,0
700,686.489,0.372267,0.787611,0.791102,0.784119,20,0.00000000,0
725,710.975,0.364900,0.793398,0.799061,0.787734,20,0.00000000,0
750,735.531,0.355722,0.797925,0.807258,0.788592,20,0.00000000,0
775,760.315,0.355915,0.798480,0.808829,0.788132,20,0.00000000,0
800,784.790,0.348788,0.800371,0.815312,0.785430,20,0.00000000,0
825,809.223,0.341423,0.804342,0.823414,0.785270,20,0.00000000,0
850,834.101,0.336781,0.806170,0.825457,0.786883,20,0.00000000,0
875,858.798,0.336695,0.806713,0.824352,0.789074,20,0.00000000,0
900,883.344,0.334782,0.807838,0.826987,0.788689,20,0.00000000,0
925,907.740,0.333700,0.808425,0.826490,0.790359,20,0.00000000,0
950,932.403,0.340749,0.803242,0.822718,0.783766,20,0.00000000,0
975,957.252,0.333222,0.808114,0.826502,0.789726,20,0.00000000,0
1000,981.940,0.334968,0.804273,0.824651,0.783895,20,0.00000000,0
1025,1006.316,0.331991,0.808572,0.826365,0.790779,20,0.00000000,0
1050,1031.239,0.333884,0.805160,0.825785,0.784536,20,0.00000000,0
1075,1055.913,0.330073,0.808218,0.827307,0.789128,20,0.00000000,0
1100,1080.094,0.327784,0.811243,0.825457,0.797029,20,0.00000000,0
1125,1104.411,0.330494,0.808415,0.825270,0.791560,20,0.00000000,0
1150,1128.071,0.328313,0.811943,0.827729,0.796157,20,0.00000000,0
1175,1151.881,0.326465,0.812040,0.826965,0.797115,20,0.00000000,0
1200,1175.791,0.327719,0.810911,0.827223,0.794598,20,0.00000000,0
1225,1200.089,0.321048,0.815959,0.828795,0.803123,20,0.00000000,0
1250,1224.453,0.322930,0.812366,0.828220,0.796512,20,0.00000000,0
1275,1248.787,0.319784,0.815183,0.827153,0.803214,20,0.00000000,0
1300,1273.445,0.337644,0.804371,0.823992,0.784750,20,0.00000000,0
1325,1298.217,0.321007,0.817430,0.822599,0.812261,20,0.00000000,0
1350,1322.714,0.321140,0.815863,0.822671,0.809056,20,0.00000000,0
1375,1347.242,0.319934,0.815816,0.823147,0.808485,20,0.00000000,0
1400,1371.360,0.321024,0.815030,0.822122,0.807939,20,0.00000000,0
1425,1395.745,0.320305,0.815912,0.822704,0.809121,20,0.00000000,0
1450,1420.210,0.317853,0.817094,0.821310,0.812878,20,0.00000000,0
1475,1444.805,0.319953,0.816385,0.823239,0.809530,20,0.00000000,0
1500,1469.382,0.320687,0.815466,0.824402,0.806531,20,0.00000000,0
1525,1493.809,0.322098,0.814657,0.822423,0.806891,20,0.00000000,0
1550,1518.412,0.320664,0.814045,0.822573,0.805518,20,0.00000000,0
1575,1542.603,0.322395,0.812920,0.824543,0.801297,20,0.00000000,0
1600,1566.912,0.320002,0.812104,0.826090,0.798117,20,0.00000000,0
1625,1590.980,0.312953,0.818784,0.827354,0.810213,20,0.00000000,0
1650,1615.257,0.312321,0.817841,0.827308,0.808374,20,0.00000000,0
1675,1639.305,0.310755,0.819927,0.829882,0.809973,20,0.00000000,0
1700,1663.415,0.310191,0.819931,0.830662,0.809199,20,0.00000000,0
1725,1687.645,0.308501,0.820566,0.831712,0.809420,20,0.00000000,0
1750,1711.777,0.316115,0.813623,0.831925,0.795320,20,0.00000000,0
1775,1736.275,0.311996,0.816610,0.830238,0.802981,20,0.00000000,0
1800,1760.534,0.308415,0.821168,0.830642,0.811694,20,0.00000000,0
1825,1784.970,0.305464,0.821849,0.832706,0.810992,20,0.00000000,0
1850,1809.436,0.305373,0.821988,0.831819,0.812157,20,0.00000000,0
1875,1833.852,0.304382,0.823015,0.832517,0.813513,20,0.00000000,0
1900,1858.291,0.303337,0.823217,0.833523,0.812911,20,0.00000000,0
1925,1882.737,0.307084,0.821319,0.828301,0.814337,20,0.00000000,0
