job_id	job_name	pair	arm	output_dir
4202089	h2_sun_moon_l200	sun_moon	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_sun_moon_l200
4202090	h2_sun_moon_l500	sun_moon	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_sun_moon_l500
4202091	h2_sun_moon_l2000	sun_moon	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_sun_moon_l2000
4202092	h2_water_fire_l200	water_fire	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_water_fire_l200
4202093	h2_water_fire_l500	water_fire	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_water_fire_l500
4202094	h2_water_fire_l2000	water_fire	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_water_fire_l2000
4202095	h2_cat_face_bass_l200	cat_face_bass	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_cat_face_bass_l200
4202096	h2_cat_face_bass_l500	cat_face_bass	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_cat_face_bass_l500
4202097	h2_cat_face_bass_l2000	cat_face_bass	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_cat_face_bass_l2000
4202098	h2_dance_argument_l200	dance_argument	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_dance_argument_l200
4202099	h2_dance_argument_l500	dance_argument	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_dance_argument_l500
4202100	h2_dance_argument_l2000	dance_argument	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_dance_argument_l2000
4202101	h2_horse_circle_l200	horse_circle	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_horse_circle_l200
4202102	h2_horse_circle_l500	horse_circle	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_horse_circle_l500
4202103	h2_horse_circle_l2000	horse_circle	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_horse_circle_l2000
4202104	h2_acm_scf_l200	acm_scf	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_acm_scf_l200
4202105	h2_acm_scf_l500	acm_scf	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_acm_scf_l500
4202106	h2_acm_scf_l2000	acm_scf	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_acm_scf_l2000
4202107	h2_teapot_droplets_l200	teapot_droplets	l200	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_teapot_droplets_l200
4202108	h2_teapot_droplets_l500	teapot_droplets	l500	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_teapot_droplets_l500
4202109	h2_teapot_droplets_l2000	teapot_droplets	l2000	/oscar/home/cjmok/aps-hinge2/results/hinge2/h2_20260723_0259_n5/h2_teapot_droplets_l2000
