step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,3.556,1.109654,0.384111,0.420487,0.347734,50,0.00029411,0,0.322032,0.429975,0.214089,0.623292,0.583059,0.663525,0.511733,0.601286,0.422180,0.053775,0.057018,0.394751,0.575798,0.000000,0,0,0,0,0
25,68.903,0.648242,0.588700,0.627653,0.549746,50,0.00005479,1,0.166873,0.228653,0.105093,0.811915,0.771306,0.852525,0.689344,0.771168,0.607520,0.028348,0.027577,0.223805,0.390218,0.000000,0,0,0,0,0
50,135.009,0.447286,0.701496,0.729798,0.673193,50,0.00012312,5,0.135249,0.195963,0.074536,0.861616,0.816647,0.906586,0.798091,0.872812,0.723370,0.024014,0.019453,0.123161,0.274406,0.000000,0,0,0,0,0
75,200.943,0.337191,0.769480,0.766556,0.772405,50,0.00007861,1,0.121304,0.181493,0.061114,0.881835,0.833059,0.930610,0.862645,0.905681,0.819610,0.022290,0.016116,0.091812,0.177847,0.000000,0,0,0,0,0
100,267.128,0.265411,0.816824,0.796865,0.836782,50,0.00009068,4,0.104549,0.151125,0.057972,0.898546,0.858552,0.938541,0.901292,0.917292,0.885293,0.018674,0.015092,0.080296,0.113069,0.000000,0,0,0,0,0
125,332.293,0.224479,0.843612,0.819036,0.868189,50,0.00016961,6,0.099928,0.141122,0.058734,0.904377,0.868814,0.939940,0.926900,0.934620,0.919181,0.017361,0.015071,0.063702,0.079096,0.000000,0,0,0,0,0
150,397.391,0.193463,0.865053,0.842299,0.887807,50,0.00009030,7,0.085627,0.115756,0.055497,0.917212,0.890337,0.944087,0.938439,0.939800,0.937078,0.014302,0.014513,0.057951,0.060563,0.000000,0,0,0,0,0
175,462.599,0.180773,0.873991,0.849108,0.898873,50,0.00006733,7,0.083905,0.111647,0.056164,0.919187,0.894229,0.944145,0.946633,0.943909,0.949357,0.013810,0.014509,0.053939,0.049379,0.000000,0,0,0,0,0
200,527.566,0.159106,0.887710,0.865647,0.909772,50,0.00007903,6,0.076112,0.098249,0.053974,0.926523,0.906335,0.946711,0.954787,0.950697,0.958877,0.011996,0.013658,0.047131,0.039894,0.000000,0,0,0,0,0
225,592.704,0.145012,0.896729,0.878714,0.914745,50,0.00010180,6,0.071386,0.094319,0.048453,0.931292,0.910675,0.951909,0.960330,0.961593,0.959067,0.011505,0.012515,0.036829,0.039057,0.000000,0,0,0,0,0
250,657.158,0.140099,0.900520,0.889455,0.911586,50,0.00008711,5,0.069182,0.087531,0.050833,0.933314,0.917019,0.949608,0.962617,0.967310,0.957925,0.010491,0.013121,0.031053,0.040103,0.000000,0,0,0,0,0
275,720.411,0.135240,0.905819,0.899240,0.912398,50,0.00011264,4,0.066669,0.081458,0.051880,0.935714,0.922712,0.948716,0.966112,0.972490,0.959733,0.009802,0.013782,0.026072,0.038375,0.000000,0,0,0,0,0
300,783.816,0.133417,0.908083,0.901566,0.914600,50,0.00011804,2,0.069508,0.083423,0.055593,0.933434,0.921314,0.945553,0.971111,0.976777,0.965445,0.010138,0.014882,0.021735,0.032484,0.000000,0,0,0,0,0
325,848.273,0.127940,0.913439,0.909888,0.916990,50,0.00005465,4,0.068275,0.080386,0.056164,0.934798,0.924408,0.945188,0.975760,0.983030,0.968491,0.010021,0.015176,0.016315,0.029311,0.000000,0,0,0,0,0
350,912.671,0.121146,0.914424,0.905013,0.923834,50,0.00002918,2,0.068419,0.083244,0.053594,0.934773,0.921733,0.947812,0.976848,0.980350,0.973346,0.009828,0.013893,0.019070,0.024891,0.000000,0,0,0,0,0
375,976.869,0.111235,0.921188,0.912539,0.929836,50,0.00003693,2,0.063580,0.078421,0.048739,0.939296,0.926194,0.952399,0.979628,0.984101,0.975155,0.009512,0.012758,0.015058,0.022686,0.000000,0,0,0,0,0
400,1040.550,0.100166,0.926808,0.910968,0.942648,50,0.00005564,2,0.060243,0.081458,0.039029,0.942655,0.923631,0.961679,0.982306,0.985173,0.979438,0.010033,0.010188,0.014202,0.018869,0.000000,0,0,0,0,0
425,1103.807,0.099450,0.925988,0.905589,0.946388,50,0.00001042,3,0.063394,0.089854,0.036935,0.940142,0.916556,0.963728,0.984151,0.986960,0.981342,0.010744,0.009868,0.012615,0.017412,0.000000,0,0,0,0,0
450,1167.273,0.090964,0.931294,0.911522,0.951067,50,0.00001145,2,0.058554,0.082172,0.034936,0.944413,0.923103,0.965723,0.985358,0.986424,0.984293,0.009937,0.008973,0.013054,0.014101,0.000000,0,0,0,0,0
475,1230.771,0.085143,0.934887,0.910288,0.959486,50,0.00004891,3,0.057169,0.085209,0.029129,0.945969,0.920593,0.971346,0.987644,0.987853,0.987435,0.010412,0.007815,0.011213,0.011356,0.000000,0,0,0,0,0
500,1294.040,0.080950,0.938517,0.913611,0.963423,50,0.00001210,3,0.054722,0.081458,0.027987,0.948177,0.923835,0.972518,0.989208,0.988031,0.990386,0.010241,0.007461,0.010743,0.008766,0.000000,0,0,0,0,0
525,1357.424,0.080894,0.937041,0.911576,0.962507,50,0.00001796,2,0.056562,0.084852,0.028272,0.946603,0.920978,0.972227,0.989322,0.988925,0.989719,0.010277,0.007466,0.009987,0.009215,0.000000,0,0,0,0,0
550,1420.833,0.078974,0.938238,0.914229,0.962247,50,0.00001126,3,0.054835,0.080922,0.028748,0.948045,0.924311,0.971778,0.989060,0.988210,0.989910,0.009676,0.007530,0.010687,0.008688,0.000000,0,0,0,0,0
575,1484.660,0.076969,0.940961,0.917786,0.964137,50,0.00001167,3,0.052466,0.077706,0.027225,0.950203,0.927160,0.973246,0.989744,0.989103,0.990386,0.009595,0.007224,0.009856,0.008754,0.000000,0,0,0,0,0
600,1547.955,0.076770,0.940534,0.918560,0.962507,50,0.00001086,3,0.052632,0.076992,0.028272,0.950011,0.927794,0.972227,0.989501,0.989282,0.989719,0.009315,0.007444,0.009499,0.009159,0.000000,0,0,0,0,0
625,1611.545,0.077065,0.939957,0.915094,0.964819,50,0.00001032,3,0.052413,0.079314,0.025512,0.950265,0.925665,0.974864,0.988554,0.987674,0.989434,0.009611,0.006939,0.010711,0.009476,0.000000,0,0,0,0,0
650,1675.476,0.075947,0.940794,0.918106,0.963481,50,0.00002074,3,0.051209,0.075384,0.027035,0.951235,0.929064,0.973406,0.988423,0.987317,0.989529,0.009218,0.007025,0.010834,0.009408,0.000000,0,0,0,0,0
675,1738.726,0.075843,0.940200,0.918744,0.961656,50,0.00003487,3,0.051412,0.075027,0.027796,0.951023,0.929400,0.972646,0.988030,0.987674,0.988386,0.008899,0.007328,0.010176,0.009991,0.000000,0,0,0,0,0
