step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.228,0.910462,0.031989,0.049192,0.014786,1,0.00000000,0,0.125472,0.076167,0.174777,0.250222,0.410042,0.090402,0.035155,0.052939,0.017371,0.017309,0.035781,0.191740,0.197129,0.050000,0,0,0,0,0
25,2.327,0.797124,0.045148,0.048233,0.042062,1,0.00000000,0,0.066756,0.030359,0.103153,0.465523,0.620783,0.310263,0.048049,0.049697,0.046401,0.006848,0.021039,0.183773,0.179931,0.050000,0,0,0,0,0
50,65.095,0.742627,0.054519,0.042806,0.066232,1,0.00000000,0,0.038862,0.019663,0.058061,0.618155,0.689420,0.546890,0.056862,0.043647,0.070077,0.004357,0.011779,0.182913,0.168232,0.050000,0,0,0,0,0
75,67.035,0.723310,0.062207,0.043391,0.081022,1,0.00000000,0,0.030480,0.018366,0.042594,0.685592,0.706390,0.664794,0.064331,0.044188,0.084474,0.004156,0.008549,0.182647,0.163128,0.050000,0,0,0,0,0
100,129.434,0.704978,0.070274,0.043792,0.096756,1,0.00000000,0,0.022838,0.018907,0.026770,0.745058,0.702381,0.787736,0.071983,0.044620,0.099346,0.004177,0.005378,0.182613,0.157932,0.050000,0,0,0,0,0
125,131.485,0.684905,0.078226,0.039689,0.116763,1,0.00000000,1,0.014095,0.015341,0.012849,0.813134,0.724272,0.901996,0.079281,0.040298,0.118263,0.003404,0.002500,0.182777,0.152295,0.050000,0,0,0,0,0
150,194.168,0.675656,0.081819,0.035623,0.128014,1,0.00000000,1,0.009754,0.012965,0.006544,0.843676,0.735683,0.951670,0.082468,0.036085,0.128852,0.002920,0.001244,0.183181,0.149441,0.050000,0,0,0,0,0
175,196.198,0.672050,0.082947,0.032348,0.133547,1,0.00000000,1,0.008019,0.011992,0.004045,0.851299,0.731884,0.970715,0.083411,0.032736,0.134087,0.002651,0.000773,0.183608,0.148137,0.050000,0,0,0,0,0
200,259.594,0.663277,0.093947,0.033127,0.154768,1,0.00000000,1,0.007116,0.011020,0.003212,0.866078,0.752427,0.979730,0.094378,0.033492,0.155265,0.002483,0.000609,0.183352,0.144421,0.050000,0,0,0,0,0
225,261.769,0.643330,0.126346,0.034435,0.218257,1,0.00000000,0,0.008483,0.013397,0.003569,0.853280,0.722595,0.983966,0.126966,0.034896,0.219036,0.002951,0.000722,0.183453,0.133622,0.050000,0,0,0,0,0
250,325.544,0.630436,0.143320,0.029139,0.257502,1,0.00000000,0,0.007651,0.012208,0.003093,0.847710,0.707254,0.988166,0.143897,0.029494,0.258299,0.002766,0.000576,0.184313,0.126728,0.050000,0,0,0,0,0
275,327.700,0.617023,0.163598,0.031533,0.295663,1,0.00000000,1,0.007671,0.014153,0.001190,0.844603,0.693208,0.995997,0.163997,0.031979,0.296014,0.003265,0.000195,0.184203,0.119982,0.050000,0,0,0,0,0
300,391.303,0.605511,0.183080,0.033461,0.332699,1,0.00000000,1,0.008832,0.017070,0.000595,0.832089,0.665962,0.998216,0.183465,0.034032,0.332897,0.003860,0.000079,0.184325,0.113506,0.050000,0,0,0,0,0
325,393.452,0.593243,0.206686,0.035518,0.377854,1,0.00000000,1,0.011198,0.022040,0.000357,0.810639,0.622222,0.999057,0.207145,0.036301,0.377989,0.004805,0.000036,0.184762,0.105808,0.050000,0,0,0,0,0
350,441.284,0.581070,0.230065,0.034871,0.425259,1,0.00000000,1,0.012986,0.025497,0.000476,0.791328,0.583774,0.998883,0.230611,0.035761,0.425461,0.005734,0.000079,0.185480,0.097789,0.050000,0,0,0,0,0
375,443.395,0.567531,0.253698,0.035696,0.471700,1,0.00000000,0,0.014829,0.029062,0.000595,0.778517,0.558292,0.998741,0.254357,0.036733,0.471981,0.006409,0.000057,0.185946,0.089736,0.050000,0,0,0,0,0
400,490.847,0.553170,0.280385,0.038369,0.522400,1,0.00000000,0,0.017287,0.033384,0.001190,0.770315,0.542899,0.997730,0.281336,0.039650,0.523022,0.007251,0.000156,0.186112,0.081214,0.050000,0,0,0,0,0
425,493.001,0.542515,0.300619,0.038938,0.562300,1,0.00000000,0,0.019685,0.037705,0.001666,0.757170,0.517289,0.997051,0.301821,0.040406,0.563236,0.008092,0.000216,0.186626,0.074247,0.050000,0,0,0,0,0
450,540.443,0.528485,0.325339,0.040598,0.610081,1,0.00000000,0,0.020674,0.040514,0.000833,0.754541,0.510444,0.998638,0.326416,0.042243,0.610589,0.008831,0.000123,0.186870,0.066180,0.050000,0,0,0,0,0
475,542.597,0.514498,0.348587,0.043045,0.654129,1,0.00000000,0,0.022166,0.041595,0.002736,0.757298,0.518750,0.995845,0.350377,0.044836,0.655919,0.009222,0.000411,0.186630,0.058579,0.050000,0,0,0,0,0
500,589.628,0.508318,0.359740,0.043393,0.676086,1,0.00000000,0,0.022619,0.043215,0.002023,0.754311,0.511600,0.997023,0.361361,0.045268,0.677454,0.009512,0.000402,0.186749,0.055017,0.050000,0,0,0,0,0
525,591.757,0.508762,0.358871,0.043001,0.674742,1,0.00000000,0,0.022289,0.042675,0.001904,0.754769,0.512346,0.997192,0.360431,0.044836,0.676026,0.009466,0.000396,0.186819,0.055234,0.050000,0,0,0,0,0
550,638.359,0.508554,0.358854,0.043280,0.674427,1,0.00000000,0,0.022548,0.043431,0.001666,0.753648,0.509756,0.997540,0.360355,0.045160,0.675550,0.009472,0.000320,0.186773,0.055264,0.050000,0,0,0,0,0
